,sepal length,sepal width,petal length,petal width
0,7.0,3.2,0.47000000000000003,0.13999999999999999
1,6.4,3.2,0.45,0.15
2,6.9,3.1,0.49000000000000005,0.15
3,5.5,2.3,0.4,0.13
4,6.5,2.8,0.45999999999999996,0.15
5,5.7,2.8,0.45,0.13
6,6.3,3.3,0.47000000000000003,0.16
7,4.9,2.4,0.32999999999999996,0.1
8,6.6,2.9,0.45999999999999996,0.13
9,5.2,2.7,0.39,0.13999999999999999
10,5.0,2.0,0.35,0.1
11,5.9,3.0,0.42000000000000004,0.15
12,6.0,2.2,0.4,0.1
13,6.1,2.9,0.47000000000000003,0.13999999999999999
14,5.6,2.9,0.36,0.13
15,6.7,3.1,0.44000000000000006,0.13999999999999999
16,5.6,3.0,0.45,0.15
17,5.8,2.7,0.41,0.1
18,6.2,2.2,0.45,0.15
19,5.6,2.5,0.39,0.11000000000000001
20,5.9,3.2,0.48,0.18
21,6.1,2.8,0.4,0.13
22,6.3,2.5,0.49000000000000005,0.15
23,6.1,2.8,0.47000000000000003,0.12
24,6.4,2.9,0.43,0.13
25,6.6,3.0,0.44000000000000006,0.13999999999999999
26,6.8,2.8,0.48,0.13999999999999999
27,6.7,3.0,0.5,0.16999999999999998
28,6.0,2.9,0.45,0.15
29,5.7,2.6,0.35,0.1
30,5.5,2.4,0.38,0.11000000000000001
31,5.5,2.4,0.37,0.1
32,5.8,2.7,0.39,0.12
33,6.0,2.7,0.51,0.16
34,5.4,3.0,0.45,0.15
35,6.0,3.4,0.45,0.16
36,6.7,3.1,0.47000000000000003,0.15
37,6.3,2.3,0.44000000000000006,0.13
38,5.6,3.0,0.41,0.13
39,5.5,2.5,0.4,0.13
40,5.5,2.6,0.44000000000000006,0.12
41,6.1,3.0,0.45999999999999996,0.13999999999999999
42,5.8,2.6,0.4,0.12
43,5.0,2.3,0.32999999999999996,0.1
44,5.6,2.7,0.42000000000000004,0.13
45,5.7,3.0,0.42000000000000004,0.12
46,5.7,2.9,0.42000000000000004,0.13
47,6.2,2.9,0.43,0.13
48,5.1,2.5,0.3,0.11000000000000001
49,5.7,2.8,0.41,0.13
